,p2psockets,p2psockets-core,1.1.2,2005-09-20 05:50     28926,,https://repo1.maven.org/maven2/p2psockets/p2psockets-core/1.1.2/p2psockets-core-1.1.2.jar
,p6spy,p6spy,3.8.0,2018-10-15 18:18    124690,,https://repo1.maven.org/maven2/p6spy/p6spy/3.8.0/p6spy-3.8.0.jar
,p6spy,p6spy,3.8.0,2018-10-15 18:18    914328,,https://repo1.maven.org/maven2/p6spy/p6spy/3.8.0/p6spy-3.8.0-logback-nodep.jar
,p6spy,p6spy,3.8.0,2018-10-15 18:18   2022664,,https://repo1.maven.org/maven2/p6spy/p6spy/3.8.0/p6spy-3.8.0-log4j2-nodep.jar
,p6spy,p6spy,3.8.0,2018-10-15 18:18    648344,,https://repo1.maven.org/maven2/p6spy/p6spy/3.8.0/p6spy-3.8.0-log4j-nodep.jar
,p6spy,p6spy,3.7.0,2018-04-03 21:52    124027,,https://repo1.maven.org/maven2/p6spy/p6spy/3.7.0/p6spy-3.7.0.jar
,p6spy,p6spy,3.7.0,2018-04-03 21:52    846492,,https://repo1.maven.org/maven2/p6spy/p6spy/3.7.0/p6spy-3.7.0-logback-nodep.jar
,p6spy,p6spy,3.7.0,2018-04-03 21:52    980615,,https://repo1.maven.org/maven2/p6spy/p6spy/3.7.0/p6spy-3.7.0-log4j2-nodep.jar
,p6spy,p6spy,3.7.0,2018-04-03 21:52    635767,,https://repo1.maven.org/maven2/p6spy/p6spy/3.7.0/p6spy-3.7.0-log4j-nodep.jar
,p6spy,p6spy,3.6.0,2017-11-12 22:44    123220,,https://repo1.maven.org/maven2/p6spy/p6spy/3.6.0/p6spy-3.6.0.jar
,p6spy,p6spy,3.6.0,2017-11-12 22:44    845685,,https://repo1.maven.org/maven2/p6spy/p6spy/3.6.0/p6spy-3.6.0-logback-nodep.jar
,p6spy,p6spy,3.6.0,2017-11-12 22:44    979808,,https://repo1.maven.org/maven2/p6spy/p6spy/3.6.0/p6spy-3.6.0-log4j2-nodep.jar
,p6spy,p6spy,3.6.0,2017-11-12 22:44    634960,,https://repo1.maven.org/maven2/p6spy/p6spy/3.6.0/p6spy-3.6.0-log4j-nodep.jar
,p6spy,p6spy,3.5.1,2017-11-02 10:59    122940,,https://repo1.maven.org/maven2/p6spy/p6spy/3.5.1/p6spy-3.5.1.jar
,p6spy,p6spy,3.5.1,2017-11-02 10:59    845405,,https://repo1.maven.org/maven2/p6spy/p6spy/3.5.1/p6spy-3.5.1-logback-nodep.jar
,p6spy,p6spy,3.5.1,2017-11-02 10:59    979528,,https://repo1.maven.org/maven2/p6spy/p6spy/3.5.1/p6spy-3.5.1-log4j2-nodep.jar
,p6spy,p6spy,3.5.1,2017-11-02 10:59    634680,,https://repo1.maven.org/maven2/p6spy/p6spy/3.5.1/p6spy-3.5.1-log4j-nodep.jar
,p6spy,p6spy,3.4.0,2017-10-13 10:43    122713,,https://repo1.maven.org/maven2/p6spy/p6spy/3.4.0/p6spy-3.4.0.jar
,p6spy,p6spy,3.4.0,2017-10-13 10:43    845178,,https://repo1.maven.org/maven2/p6spy/p6spy/3.4.0/p6spy-3.4.0-logback-nodep.jar
,p6spy,p6spy,3.4.0,2017-10-13 10:43    979301,,https://repo1.maven.org/maven2/p6spy/p6spy/3.4.0/p6spy-3.4.0-log4j2-nodep.jar
,p6spy,p6spy,3.4.0,2017-10-13 10:43    634453,,https://repo1.maven.org/maven2/p6spy/p6spy/3.4.0/p6spy-3.4.0-log4j-nodep.jar
,p6spy,p6spy,3.3.0,2017-09-09 19:32    122106,,https://repo1.maven.org/maven2/p6spy/p6spy/3.3.0/p6spy-3.3.0.jar
,p6spy,p6spy,3.3.0,2017-09-09 19:32    844571,,https://repo1.maven.org/maven2/p6spy/p6spy/3.3.0/p6spy-3.3.0-logback-nodep.jar
,p6spy,p6spy,3.3.0,2017-09-09 19:32    978694,,https://repo1.maven.org/maven2/p6spy/p6spy/3.3.0/p6spy-3.3.0-log4j2-nodep.jar
,p6spy,p6spy,3.3.0,2017-09-09 19:32    633846,,https://repo1.maven.org/maven2/p6spy/p6spy/3.3.0/p6spy-3.3.0-log4j-nodep.jar
,p6spy,p6spy,3.2.0,2017-09-01 10:47    119659,,https://repo1.maven.org/maven2/p6spy/p6spy/3.2.0/p6spy-3.2.0.jar
,p6spy,p6spy,3.2.0,2017-09-01 10:47    842124,,https://repo1.maven.org/maven2/p6spy/p6spy/3.2.0/p6spy-3.2.0-logback-nodep.jar
,p6spy,p6spy,3.2.0,2017-09-01 10:47    976247,,https://repo1.maven.org/maven2/p6spy/p6spy/3.2.0/p6spy-3.2.0-log4j2-nodep.jar
,p6spy,p6spy,3.2.0,2017-09-01 10:47    631399,,https://repo1.maven.org/maven2/p6spy/p6spy/3.2.0/p6spy-3.2.0-log4j-nodep.jar
,p6spy,p6spy,3.0.0-rc3,2016-10-06 14:14    122130,,https://repo1.maven.org/maven2/p6spy/p6spy/3.0.0-rc3/p6spy-3.0.0-rc3.jar
,p6spy,p6spy,3.0.0-rc3,2016-10-06 14:14    844325,,https://repo1.maven.org/maven2/p6spy/p6spy/3.0.0-rc3/p6spy-3.0.0-rc3-logback-nodep.jar
,p6spy,p6spy,3.0.0-rc3,2016-10-06 14:14    978496,,https://repo1.maven.org/maven2/p6spy/p6spy/3.0.0-rc3/p6spy-3.0.0-rc3-log4j2-nodep.jar
,p6spy,p6spy,3.0.0-rc3,2016-10-06 14:14    641591,,https://repo1.maven.org/maven2/p6spy/p6spy/3.0.0-rc3/p6spy-3.0.0-rc3-log4j-nodep.jar
,p6spy,p6spy,3.0.0-rc2,2016-09-08 15:05    121874,,https://repo1.maven.org/maven2/p6spy/p6spy/3.0.0-rc2/p6spy-3.0.0-rc2.jar
,p6spy,p6spy,3.0.0-rc2,2016-09-08 15:05    844069,,https://repo1.maven.org/maven2/p6spy/p6spy/3.0.0-rc2/p6spy-3.0.0-rc2-logback-nodep.jar
,p6spy,p6spy,3.0.0-rc2,2016-09-08 15:05    978240,,https://repo1.maven.org/maven2/p6spy/p6spy/3.0.0-rc2/p6spy-3.0.0-rc2-log4j2-nodep.jar
,p6spy,p6spy,3.0.0-rc2,2016-09-08 15:05    641335,,https://repo1.maven.org/maven2/p6spy/p6spy/3.0.0-rc2/p6spy-3.0.0-rc2-log4j-nodep.jar
,p6spy,p6spy,3.0.0-rc-1,2016-09-02 17:16    121698,,https://repo1.maven.org/maven2/p6spy/p6spy/3.0.0-rc-1/p6spy-3.0.0-rc-1.jar
,p6spy,p6spy,3.0.0-rc-1,2016-09-02 17:16    843893,,https://repo1.maven.org/maven2/p6spy/p6spy/3.0.0-rc-1/p6spy-3.0.0-rc-1-logback-nodep.jar
,p6spy,p6spy,3.0.0-rc-1,2016-09-02 17:16    978064,,https://repo1.maven.org/maven2/p6spy/p6spy/3.0.0-rc-1/p6spy-3.0.0-rc-1-log4j2-nodep.jar
,p6spy,p6spy,3.0.0-rc-1,2016-09-02 17:16    641159,,https://repo1.maven.org/maven2/p6spy/p6spy/3.0.0-rc-1/p6spy-3.0.0-rc-1-log4j-nodep.jar
,p6spy,p6spy,3.0.0-alpha-1,2016-07-29 16:20    119624,,https://repo1.maven.org/maven2/p6spy/p6spy/3.0.0-alpha-1/p6spy-3.0.0-alpha-1.jar
,p6spy,p6spy,3.0.0-alpha-1,2016-07-29 16:20    841819,,https://repo1.maven.org/maven2/p6spy/p6spy/3.0.0-alpha-1/p6spy-3.0.0-alpha-1-logback-nodep.jar
,p6spy,p6spy,3.0.0-alpha-1,2016-07-29 16:20    975990,,https://repo1.maven.org/maven2/p6spy/p6spy/3.0.0-alpha-1/p6spy-3.0.0-alpha-1-log4j2-nodep.jar
,p6spy,p6spy,3.0.0-alpha-1,2016-07-29 16:20    639085,,https://repo1.maven.org/maven2/p6spy/p6spy/3.0.0-alpha-1/p6spy-3.0.0-alpha-1-log4j-nodep.jar
,p6spy,p6spy,3.0.0,2016-10-27 05:00    122122,,https://repo1.maven.org/maven2/p6spy/p6spy/3.0.0/p6spy-3.0.0.jar
,p6spy,p6spy,3.0.0,2016-10-27 05:00    844317,,https://repo1.maven.org/maven2/p6spy/p6spy/3.0.0/p6spy-3.0.0-logback-nodep.jar
,p6spy,p6spy,3.0.0,2016-10-27 05:00    978488,,https://repo1.maven.org/maven2/p6spy/p6spy/3.0.0/p6spy-3.0.0-log4j2-nodep.jar
,p6spy,p6spy,3.0.0,2016-10-27 05:00    641583,,https://repo1.maven.org/maven2/p6spy/p6spy/3.0.0/p6spy-3.0.0-log4j-nodep.jar
,p6spy,p6spy,2.3.1,2016-06-23 16:30    492210,,https://repo1.maven.org/maven2/p6spy/p6spy/2.3.1/p6spy-2.3.1.jar
,p6spy,p6spy,2.3.1,2016-06-23 16:30   1207539,,https://repo1.maven.org/maven2/p6spy/p6spy/2.3.1/p6spy-2.3.1-logback-nodep.jar
,p6spy,p6spy,2.3.1,2016-06-23 16:30   1337458,,https://repo1.maven.org/maven2/p6spy/p6spy/2.3.1/p6spy-2.3.1-log4j2-nodep.jar
,p6spy,p6spy,2.3.1,2016-06-23 16:30   1000553,,https://repo1.maven.org/maven2/p6spy/p6spy/2.3.1/p6spy-2.3.1-log4j-nodep.jar
,p6spy,p6spy,2.3.0,2016-05-11 14:04    468257,,https://repo1.maven.org/maven2/p6spy/p6spy/2.3.0/p6spy-2.3.0.jar
,p6spy,p6spy,2.3.0,2016-05-11 14:04   1183928,,https://repo1.maven.org/maven2/p6spy/p6spy/2.3.0/p6spy-2.3.0-logback-nodep.jar
,p6spy,p6spy,2.3.0,2016-05-11 14:04   1318099,,https://repo1.maven.org/maven2/p6spy/p6spy/2.3.0/p6spy-2.3.0-log4j2-nodep.jar
,p6spy,p6spy,2.3.0,2016-05-11 14:04    981194,,https://repo1.maven.org/maven2/p6spy/p6spy/2.3.0/p6spy-2.3.0-log4j-nodep.jar
,p6spy,p6spy,2.2.0,2016-03-22 23:22    470848,,https://repo1.maven.org/maven2/p6spy/p6spy/2.2.0/p6spy-2.2.0.jar
,p6spy,p6spy,2.2.0,2016-03-22 23:22   1186471,,https://repo1.maven.org/maven2/p6spy/p6spy/2.2.0/p6spy-2.2.0-logback-nodep.jar
,p6spy,p6spy,2.2.0,2016-03-22 23:22   1320642,,https://repo1.maven.org/maven2/p6spy/p6spy/2.2.0/p6spy-2.2.0-log4j2-nodep.jar
,p6spy,p6spy,2.2.0,2016-03-22 23:22    983737,,https://repo1.maven.org/maven2/p6spy/p6spy/2.2.0/p6spy-2.2.0-log4j-nodep.jar
,p6spy,p6spy,2.1.4,2015-05-09 20:51    471420,,https://repo1.maven.org/maven2/p6spy/p6spy/2.1.4/p6spy-2.1.4.jar
,p6spy,p6spy,2.1.4,2015-05-09 20:51   1187045,,https://repo1.maven.org/maven2/p6spy/p6spy/2.1.4/p6spy-2.1.4-logback-nodep.jar
,p6spy,p6spy,2.1.4,2015-05-09 20:51   1321216,,https://repo1.maven.org/maven2/p6spy/p6spy/2.1.4/p6spy-2.1.4-log4j2-nodep.jar
,p6spy,p6spy,2.1.4,2015-05-09 20:51    984311,,https://repo1.maven.org/maven2/p6spy/p6spy/2.1.4/p6spy-2.1.4-log4j-nodep.jar
,p6spy,p6spy,2.1.3,2015-04-02 17:23    470107,,https://repo1.maven.org/maven2/p6spy/p6spy/2.1.3/p6spy-2.1.3.jar
,p6spy,p6spy,2.1.3,2015-04-02 17:23   1185748,,https://repo1.maven.org/maven2/p6spy/p6spy/2.1.3/p6spy-2.1.3-logback-nodep.jar
,p6spy,p6spy,2.1.3,2015-04-02 17:23   1319919,,https://repo1.maven.org/maven2/p6spy/p6spy/2.1.3/p6spy-2.1.3-log4j2-nodep.jar
,p6spy,p6spy,2.1.3,2015-04-02 17:23    983014,,https://repo1.maven.org/maven2/p6spy/p6spy/2.1.3/p6spy-2.1.3-log4j-nodep.jar
,p6spy,p6spy,2.1.2,2014-10-14 04:18    470019,,https://repo1.maven.org/maven2/p6spy/p6spy/2.1.2/p6spy-2.1.2.jar
,p6spy,p6spy,2.1.2,2014-10-14 04:18   1185660,,https://repo1.maven.org/maven2/p6spy/p6spy/2.1.2/p6spy-2.1.2-logback-nodep.jar
,p6spy,p6spy,2.1.2,2014-10-14 04:18   1319831,,https://repo1.maven.org/maven2/p6spy/p6spy/2.1.2/p6spy-2.1.2-log4j2-nodep.jar
,p6spy,p6spy,2.1.2,2014-10-14 04:18    982926,,https://repo1.maven.org/maven2/p6spy/p6spy/2.1.2/p6spy-2.1.2-log4j-nodep.jar
,p6spy,p6spy,2.1.1,2014-09-03 03:45    467396,,https://repo1.maven.org/maven2/p6spy/p6spy/2.1.1/p6spy-2.1.1.jar
