,axis,axis-jaxrpc,1.2,2005-09-20 05:45     32071,,https://repo1.maven.org/maven2/axis/axis-jaxrpc/1.2/axis-jaxrpc-1.2.jar
,axis,axis-ant,1.4,2006-04-23 04:32     33202,,https://repo1.maven.org/maven2/axis/axis-ant/1.4/axis-ant-1.4.jar
,axis,axis-ant,1.3,2005-10-14 00:03     33514,,https://repo1.maven.org/maven2/axis/axis-ant/1.3/axis-ant-1.3.jar
,axis,axis-ant,1.2.1,2005-09-20 05:45     33506,,https://repo1.maven.org/maven2/axis/axis-ant/1.2.1/axis-ant-1.2.1.jar
,axis,axis-ant,1.2-beta-3,2005-09-20 05:45     30353,,https://repo1.maven.org/maven2/axis/axis-ant/1.2-beta-3/axis-ant-1.2-beta-3.jar
,axis,axis-ant,1.2-beta-2,2005-09-20 05:45    388694,,https://repo1.maven.org/maven2/axis/axis-ant/1.2-beta-2/axis-ant-1.2-beta-2.jar
,axis,axis-ant,1.2-RC3,2005-09-20 05:45     32489,,https://repo1.maven.org/maven2/axis/axis-ant/1.2-RC3/axis-ant-1.2-RC3.jar
,axis,axis-ant,1.2-RC2,2005-09-20 05:45     30082,,https://repo1.maven.org/maven2/axis/axis-ant/1.2-RC2/axis-ant-1.2-RC2.jar
,axis,axis-ant,1.2-RC1,2005-09-20 05:45     30296,,https://repo1.maven.org/maven2/axis/axis-ant/1.2-RC1/axis-ant-1.2-RC1.jar
,axis,axis-ant,1.2,2005-09-20 05:45     33501,,https://repo1.maven.org/maven2/axis/axis-ant/1.2/axis-ant-1.2.jar
,axis,axis-ant,1.1,2005-09-20 05:45    385010,,https://repo1.maven.org/maven2/axis/axis-ant/1.1/axis-ant-1.1.jar
,axis,axis,1.4,2006-04-23 04:32   1599570,,https://repo1.maven.org/maven2/axis/axis/1.4/axis-1.4.jar
,axis,axis,1.3,2005-10-14 00:03   1632995,,https://repo1.maven.org/maven2/axis/axis/1.3/axis-1.3.jar
,axis,axis,1.2.1,2005-09-20 05:45   1604162,,https://repo1.maven.org/maven2/axis/axis/1.2.1/axis-1.2.1.jar
,axis,axis,1.2-beta-3,2005-09-20 05:45   1623649,,https://repo1.maven.org/maven2/axis/axis/1.2-beta-3/axis-1.2-beta-3.jar
,axis,axis,1.2-beta-2,2005-09-20 05:45   1626213,,https://repo1.maven.org/maven2/axis/axis/1.2-beta-2/axis-1.2-beta-2.jar
,axis,axis,1.2-alpha-1,2005-09-20 05:45   1335607,,https://repo1.maven.org/maven2/axis/axis/1.2-alpha-1/axis-1.2-alpha-1.jar
,axis,axis,1.2-RC3,2005-09-20 05:45   1573104,,https://repo1.maven.org/maven2/axis/axis/1.2-RC3/axis-1.2-RC3.jar
,axis,axis,1.2-RC2,2005-09-20 05:45   1400426,,https://repo1.maven.org/maven2/axis/axis/1.2-RC2/axis-1.2-RC2.jar
,axis,axis,1.2-RC1,2005-09-20 05:45   1478935,,https://repo1.maven.org/maven2/axis/axis/1.2-RC1/axis-1.2-RC1.jar
,axis,axis,1.2,2005-09-20 05:45   1599495,,https://repo1.maven.org/maven2/axis/axis/1.2/axis-1.2.jar
,axis,axis,1.1-beta,2005-09-20 05:45   1094443,,https://repo1.maven.org/maven2/axis/axis/1.1-beta/axis-1.1-beta.jar
,axis,axis,1.1,2005-09-20 05:45   1235721,,https://repo1.maven.org/maven2/axis/axis/1.1/axis-1.1.jar
,axis,axis,1.0,2005-09-20 05:45   1101593,,https://repo1.maven.org/maven2/axis/axis/1.0/axis-1.0.jar
,axis2,axis2-xmlbeans,1.0,2006-05-04 20:31      9284,,https://repo1.maven.org/maven2/axis2/axis2-xmlbeans/1.0/axis2-xmlbeans-1.0.jar
