,acegisecurity,acegi-security-jboss,0.7.1,2005-09-25 04:01     14354,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-jboss/0.7.1/acegi-security-jboss-0.7.1.jar
,acegisecurity,acegi-security-jboss,0.7.0,2005-09-20 05:44     14356,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-jboss/0.7.0/acegi-security-jboss-0.7.0.jar
,acegisecurity,acegi-security-catalina-server,0.6.1,2005-09-20 05:44      6359,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-catalina-server/0.6.1/acegi-security-catalina-server-0.6.1.jar
,acegisecurity,acegi-security-catalina-server,0.51,2005-09-20 05:44      4139,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-catalina-server/0.51/acegi-security-catalina-server-0.51.jar
,acegisecurity,acegi-security-catalina-common,0.6.1,2005-09-20 05:44    200246,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-catalina-common/0.6.1/acegi-security-catalina-common-0.6.1.jar
,acegisecurity,acegi-security-catalina-common,0.51,2005-09-20 05:44    158199,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-catalina-common/0.51/acegi-security-catalina-common-0.51.jar
,acegisecurity,acegi-security-catalina,0.9.0,2005-11-11 09:36     11317,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-catalina/0.9.0/acegi-security-catalina-0.9.0.jar
,acegisecurity,acegi-security-catalina,0.8.3,2005-09-25 04:01     11329,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-catalina/0.8.3/acegi-security-catalina-0.8.3.jar
,acegisecurity,acegi-security-catalina,0.8.2,2005-09-20 05:44     11327,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-catalina/0.8.2/acegi-security-catalina-0.8.2.jar
,acegisecurity,acegi-security-catalina,0.8.1.1,2005-09-25 04:01     11327,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-catalina/0.8.1.1/acegi-security-catalina-0.8.1.1.jar
,acegisecurity,acegi-security-catalina,0.8.1,2005-09-20 05:44     11326,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-catalina/0.8.1/acegi-security-catalina-0.8.1.jar
,acegisecurity,acegi-security-catalina,0.8.0,2005-09-20 05:44     11325,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-catalina/0.8.0/acegi-security-catalina-0.8.0.jar
,acegisecurity,acegi-security-catalina,0.7.1,2005-09-25 04:01     11328,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-catalina/0.7.1/acegi-security-catalina-0.7.1.jar
,acegisecurity,acegi-security-catalina,0.7.0,2005-09-20 05:44     11328,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-catalina/0.7.0/acegi-security-catalina-0.7.0.jar
,acegisecurity,acegi-security-cas,0.9.0,2005-11-11 09:36     11491,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-cas/0.9.0/acegi-security-cas-0.9.0.jar
,acegisecurity,acegi-security-cas,0.8.3,2005-09-25 04:01     11499,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-cas/0.8.3/acegi-security-cas-0.8.3.jar
,acegisecurity,acegi-security-cas,0.8.2,2005-09-20 05:44     11497,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-cas/0.8.2/acegi-security-cas-0.8.2.jar
,acegisecurity,acegi-security-cas,0.8.1.1,2005-09-25 04:01     11499,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-cas/0.8.1.1/acegi-security-cas-0.8.1.1.jar
,acegisecurity,acegi-security-cas,0.8.1,2005-09-20 05:44     11498,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-cas/0.8.1/acegi-security-cas-0.8.1.jar
,acegisecurity,acegi-security-cas,0.8.0,2005-09-20 05:44     11498,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-cas/0.8.0/acegi-security-cas-0.8.0.jar
,acegisecurity,acegi-security-cas,0.7.1,2005-09-25 04:01     11498,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-cas/0.7.1/acegi-security-cas-0.7.1.jar
,acegisecurity,acegi-security-cas,0.7.0,2005-09-20 05:44     11502,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-cas/0.7.0/acegi-security-cas-0.7.0.jar
,acegisecurity,acegi-security,0.9.0,2005-11-11 09:36    385350,,https://repo1.maven.org/maven2/acegisecurity/acegi-security/0.9.0/acegi-security-0.9.0.jar
,acegisecurity,acegi-security,0.8.3,2005-09-25 04:01    349906,,https://repo1.maven.org/maven2/acegisecurity/acegi-security/0.8.3/acegi-security-0.8.3.jar
,acegisecurity,acegi-security,0.8.2,2005-09-20 05:44    349799,,https://repo1.maven.org/maven2/acegisecurity/acegi-security/0.8.2/acegi-security-0.8.2.jar
,acegisecurity,acegi-security,0.8.1.1,2005-09-25 04:01    348359,,https://repo1.maven.org/maven2/acegisecurity/acegi-security/0.8.1.1/acegi-security-0.8.1.1.jar
,acegisecurity,acegi-security,0.8.1,2005-09-20 05:44    348255,,https://repo1.maven.org/maven2/acegisecurity/acegi-security/0.8.1/acegi-security-0.8.1.jar
,acegisecurity,acegi-security,0.8.0,2005-09-20 05:44    331830,,https://repo1.maven.org/maven2/acegisecurity/acegi-security/0.8.0/acegi-security-0.8.0.jar
